year,predicted_count,pi_lo,pi_hi,model_r2,slope,intercept
2026,61,36,86,0.7660,1.713526,-3410.81
2027,63,37,88,,,
2028,64,39,89,,,
2029,66,41,91,,,
2030,68,42,93,,,
