year,메타분석,문헌고찰,정량,정성,코퍼스
1985,0,0,1,0,0
1989,0,0,0,0,1
1992,0,0,0,1,0
1996,0,0,0,2,0
1997,0,0,0,1,0
1999,0,0,0,1,0
2000,0,0,0,1,0
2001,0,0,0,1,0
2002,0,0,0,1,0
2003,0,0,1,1,0
2006,0,0,1,1,1
2007,0,0,1,1,0
2008,0,0,1,1,1
2009,0,0,0,1,1
2010,0,0,3,3,3
2011,0,0,3,2,2
2012,0,0,4,6,2
2013,0,0,0,6,6
2014,0,0,2,4,6
2015,0,0,3,4,6
2016,0,2,2,9,7
2017,0,0,3,4,6
2018,1,1,2,3,6
2019,0,0,1,4,8
2020,1,0,9,9,8
2021,0,1,7,14,14
2022,0,0,4,6,11
2023,1,3,5,7,8
2024,0,0,2,13,2
2025,0,1,4,10,7
