year,사전사후,유지,인식,효과
1985,1,0,1,1
1988,0,0,1,1
1989,1,0,0,0
1992,0,0,1,1
1994,0,1,1,0
1996,0,1,3,2
1997,0,0,1,1
1998,0,0,2,0
1999,1,0,0,0
2000,4,0,3,2
2001,1,0,0,3
2002,1,0,3,0
2003,0,0,3,2
2004,0,0,0,1
2006,2,1,1,2
2007,1,0,2,3
2008,3,0,3,6
2009,3,2,2,6
2010,7,3,4,13
2011,5,2,6,8
2012,3,2,7,12
2013,8,6,7,9
2014,9,2,13,14
2015,8,0,7,11
2016,8,1,8,17
2017,15,1,9,17
2018,6,0,6,13
2019,6,2,9,18
2020,8,0,13,25
2021,13,1,12,26
2022,8,2,14,12
2023,15,0,10,16
2024,4,3,10,16
2025,10,0,12,15
