year,count
1977,1
1980,1
1985,1
1988,1
1989,1
1992,1
1993,1
1994,2
1996,7
1997,2
1998,4
1999,3
2000,6
2001,9
2002,8
2003,7
2004,10
2005,8
2006,9
2007,12
2008,18
2009,29
2010,45
2011,40
2012,42
2013,46
2014,45
2015,38
2016,56
2017,53
2018,46
2019,68
2020,73
2021,73
2022,67
2023,50
2024,53
2025,46
